ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
AT0000743059	EUR	1		12		335583.3333333333		335583.3333333333	
AT0000937503	EUR	30		510		157647.0588235294		157647.0588235294	
AT0000A18XM4	CHF	168		90243		2211.6119809846746		83200.0	
AT0000A21KS2	EUR	17		28700		1354.355400696864		2288.0	
AT0000KTMI02	CHF	179		11469		121304.3857354608		133333.33333333334	
AU000000BHP4	GBX	395		108595		938670.7491136793		44916666.666666664	
AU000000S320	GBX	387		414823		26312.186161326637		83381.92419825072	
BE0003678894	EUR	8		8500		4474.705882352941		4755.0	
BMG3682E1921	NOK	96		85500		8954.853801169591		16416.0	
BMG4209G2077	GBX	342		460006		15858.48880231997		805769.2307692308	
BMG4593F1389	GBX	136		60469		187313.16873108534		84600000.0	
BMG5361W1047	GBX	220		166345		49800.71538068472		12553333.333333334	
BMG702782084	GBX	271		865884		3235.5373237061776		2060000.0	
CH0000816824	CHF	238		115842		1380.5787192900675		9153.333333333334	
CH0001752309	CHF	208		1336		17002619.76047904		110400000.0	
CH0002088976	CHF	165		6192		439266.79586563306		8290000.0	
CH0002178181	CHF	71		11863		18676.894546067604		3148000.0	
CH0002432174	CHF	222		2716		2954712.812960236		36280000.0	
CH0002497458	CHF	1016		1933		131776978.78944646		258200000.0	
CH0003541510	CHF	222		1307		26340627.39097169		152600000.0	
CH0003671440	CHF	151		4877		450633.58622103755		4826666.666666667	
CH0005795668	CHF	257		2559108		2.972637340823443		700.0	
CH0006372897	CHF	238		1012		73478260.86956522		320000000.0	
CH0008012236	CHF	213		1807		16318317.653569452		74300000.0	
CH0008038389	CHF	282		19773		128003.59075507005		9160000.0	
CH0008742519	CHF	975		10198		5225840.36085507		54820000.0	
CH0008837566	CHF	216		5111		826221.8743885737		19480000.0	
CH0009002962	CHF	623		2081		62829408.93801057		214800000.0	
CH0009691608	CHF	100		2527		823209.339137317		4190000.0	
CH0010570759	CHF	215		215		9892511627.906977		10140000000.0	
CH0010570767	CHF	303		1135		256351982.37885463		983500000.0	
CH0010645932	CHF	1171		1606		275831880.4483188		385000000.0	
CH0010675863	CHF	185		9396		273886.76032354194		6980000.0	
CH0010702154	CHF	258		6565		833154.6077684691		22040000.0	
CH0010754924	CHF	211		1369		16838130.021913804		55200000.0	
CH0011029946	CHF	133		815		16554846.625766871		101000000.0	
CH0011075394	CHF	1431		32015		1745473.9965641105		36980000.0	
CH0011108872	CHF	197		4480		1325223.2142857143		10000000.0	
CH0011339204	CHF	171		62478		2701.1908191683474		1008000.0	
CH0011432447	CHF	151		19643		25516.468971134756		1160000.0	
CH0011484067	CHF	174		1934		3897647.3629782833		6235714.285714285	
CH0011693600	CHF	169		2274		3013082.6737027266		40700000.0	
CH0011795959	CHF	202		2355		4002029.723991507		46480000.0	
CH0012005267	CHF	2286		213624		82172.91596449837		608333.3333333334	
CH0012032048	CHF	2492		51956		1598537.993686966		8100000.0	
CH0012032113	CHF	366		6762		1866175.687666371		36340000.0	
CH0012100191	CHF	228		3582		2393539.921831379		38280000.0	
CH0012138530	CHF	1434		799336		1237.9865288189196		9266.666666666666	
CH0012138605	CHF	574		51035		42675.43842461056		486625.0	
CH0012142631	CHF	218		84234		3743.5180568416554		8720.93023255814	
CH0012214059	CHF	1292		124507		43557.398379207596		4202000.0	
CH0012221716	CHF	1161		264518		12843.447326835982		726000.0	
CH0012255144	CHF	223		28298		36021.62697010389		4630000.0	
CH0012255151	CHF	637		13169		1170460.1716151568		24580000.0	
CH0012268360	CHF	106		150108		221.20739734058145		349.44444444444446	
CH0012280076	CHF	394		2395		21888810.02087683		138200000.0	
CH0012335540	CHF	199		15120		85026.12433862434		6440000.0	
CH0012410517	CHF	308		16652		258444.0307470574		14470000.0	
CH0012453913	CHF	204		14555		110121.33287530058		7990000.0	
CH0012530207	CHF	320		6444		2615580.3848541277		54900000.0	
CH0012549785	CHF	252		6410		1281296.4118564744		33430000.0	
CH0012627250	CHF	212		6856		781534.422403734		1800000.0	
CH0012684657	CHF	166		8177		154742.57062492357		7790000.0	
CH0012829898	CHF	272		2588		10884891.808346214		107100000.0	
CH0013841017	CHF	882		7782		6996520.174762272		31070000.0	
CH0014284498	CHF	209		1867		8255757.900374933		74000000.0	
CH0014786500	CHF	150		8240		162285.1941747573		644285.7142857143	
CH0014852781	CHF	940		10027		4815129.151291513		13170000.0	
CH0016440353	CHF	316		2966		8913924.477410654		84700000.0	
CH0017875789	CHF	89		2740		394021.897810219		13460000.0	
CH0018294154	CHF	246		17056		172644.23076923078		11970000.0	
CH0019107025	CHF	91		1883		872904.9389272438		1225333.3333333333	
CH0019396990	CHF	184		7079		384396.1011442294		14800000.0	
CH0021218067	CHF	111		3007235		0.44695542583137		3.192488262910798	
CH0022268228	CHF	156		93558		1019.1645823980846		21206.896551724138	
CH0022427626	CHF	186		611		60581833.060556464		213000000.0	
CH0023405456	CHF	261		115375		7520.017334777898		1148333.3333333333	
CH0023868554	CHF	159		27153		13420.69016314956		2300000.0	
