ISIN	Currency	Total Buy Count	Total Sell Count	Total Buy Quantity	Total Sell Quantity	Weighted Average Buy Price	Weighted Average Sell Price	Max Buy Price	Min Sell Price
AT0000743059	EUR	1		12		335583.3333333333		335583.3333333333	
AT0000746409	EUR		1		6		1410000.0		1410000.0
AT0000937503	EUR	30		510		157647.0588235294		157647.0588235294	
AT0000A18XM4	CHF	168	319	90243	197561	2211.6119809846746	2247.154043561229	83200.0	944.636678200692
AT0000A21KS2	EUR	17		28700		1354.355400696864		2288.0	
AT0000BAWAG2	EUR		12		132		529090.9090909091		529090.9090909091
AT0000KTMI02	CHF	179	243	11469	12179	121304.3857354608	157803.59635438048	133333.33333333334	105405.4054054054
AU000000BHP4	GBX	395	455	108595	186578	938670.7491136793	669609.2250962064	44916666.666666664	185135.13513513515
AU000000S320	GBX	387	422	414823	438118	26312.186161326637	27491.680323565797	83381.92419825072	14175.0
BE0003678894	EUR	8	41	8500	42000	4474.705882352941	4642.619047619048	4755.0	1902.0
BE0003816338	EUR		34		4386		7937.984496124031		7937.984496124031
BMG3682E1921	NOK	96	72	85500	68000	8954.853801169591	8542.558823529413	16416.0	3941.0
BMG4209G2077	GBX	342	205	460006	242373	15858.48880231997	18480.60633816473	805769.2307692308	9802.116889093419
BMG4593F1389	GBX	136	146	60469	60037	187313.16873108534	205047.5540083615	84600000.0	148848.92086330935
BMG5361W1047	GBX	220	265	166345	179929	49800.71538068472	56071.33925048213	12553333.333333334	30446.066504460665
BMG702782084	GBX	271	299	865884	612785	3235.5373237061776	5442.528782525682	2060000.0	2520.4200700116685
CA0679011084	EUR		68		8398		19838.056680161942		10593.22033898305
CH0000816824	CHF	238	297	115842	148126	1380.5787192900675	1491.6388750118142	9153.333333333334	848.3009708737864
CH0001752309	CHF	208	232	1336	1518	17002619.76047904	16834980.23715415	110400000.0	13350000.0
CH0002088976	CHF	165	317	6192	10421	439266.79586563306	547740.1401017177	8290000.0	411500.0
CH0002178181	CHF	71	225	11863	36615	18676.894546067604	22852.874504984295	3148000.0	6218.0579216354345
CH0002432174	CHF	222	236	2716	3190	2954712.812960236	2704326.0188087774	36280000.0	2063333.3333333333
CH0002497458	CHF	1016	1265	1933	2861	131776978.78944646	111709681.92939532	258200000.0	30837500.0
CH0003541510	CHF	222	289	1307	1704	26340627.39097169	26734624.41314554	152600000.0	21857142.85714286
CH0003671440	CHF	151	301	4877	10120	450633.58622103755	459602.76679841895	4826666.666666667	268421.05263157893
CH0005795668	CHF	257	316	2559108	3576515	2.972637340823443	2.8203991874771948	700.0	1.2947633342430032
CH0006372897	CHF	238	257	1012	851	73478260.86956522	96713278.49588719	320000000.0	61800000.0
CH0008012236	CHF	213	257	1807	1187	16318317.653569452	32050884.58298231	74300000.0	24333333.333333332
CH0008038389	CHF	282	349	19773	24228	128003.59075507005	130255.48951626217	9160000.0	71190.47619047618
CH0008742519	CHF	975	956	10198	10678	5225840.36085507	4957690.578760067	54820000.0	1368000.0
CH0008837566	CHF	216	234	5111	6594	826221.8743885737	698589.626933576	19480000.0	274929.57746478874
CH0009002962	CHF	623	741	2081	2860	62829408.93801057	55056293.70629371	214800000.0	20980000.0
CH0009236461	CHF		3		108		179444.44444444444		179444.44444444444
CH0009691608	CHF	100	196	2527	3822	823209.339137317	1083948.1946624804	4190000.0	750000.0
CH0010570759	CHF	215	242	215	242	9892511627.906977	10031776859.504131	10140000000.0	9860000000.0
CH0010570767	CHF	303	332	1135	783	256351982.37885463	430948275.86206895	983500000.0	239500000.0
CH0010645932	CHF	1171	1144	1606	1708	275831880.4483188	258199063.23185012	385000000.0	75720000.0
CH0010675863	CHF	185	399	9396	20387	273886.76032354194	300039.2406925982	6980000.0	185866.66666666666
CH0010702154	CHF	258	262	6565	6273	833154.6077684691	936177.2676550295	22040000.0	803703.7037037037
CH0010754924	CHF	211	267	1369	1392	16838130.021913804	22004166.666666668	55200000.0	13575000.0
CH0011029946	CHF	133	215	815	1454	16554846.625766871	15196492.434662998	101000000.0	12362500.0
CH0011075394	CHF	1431	1277	32015	23489	1745473.9965641105	2184531.4828217463	36980000.0	390792.0792079208
CH0011108872	CHF	197	228	4480	4786	1325223.2142857143	1451546.1763476806	10000000.0	1202000.0
CH0011339204	CHF	171	195	62478	79393	2701.1908191683474	2458.6298540173566	1008000.0	1688.3561643835617
CH0011432447	CHF	151	117	19643	18555	25516.468971134756	22271.409323632444	1160000.0	17410.0
CH0011484067	CHF	174	202	1934	2310	3897647.3629782833	4009372.2943722946	6235714.285714285	3125000.0
CH0011693600	CHF	169	175	2274	2252	3013082.6737027266	3191962.69982238	40700000.0	2716666.6666666665
CH0011795959	CHF	202	313	2355	4143	4002029.723991507	3704026.0680666184	46480000.0	3073333.3333333335
CH0012005267	CHF	2286	2503	213624	218018	82172.91596449837	91628.6499279876	608333.3333333334	25610.0
CH0012032048	CHF	2492	2435	51956	51874	1598537.993686966	1612369.395072676	8100000.0	349114.5833333333
CH0012032113	CHF	366	455	6762	21833	1866175.687666371	797721.7972793478	36340000.0	108378.37837837837
CH0012100191	CHF	228	336	3582	6066	2393539.921831379	2202014.507088691	38280000.0	1540000.0
CH0012138530	CHF	1434	1826	799336	3960844	1237.9865288189196	348.47673879607476	9266.666666666666	22.649246614533663
CH0012138605	CHF	574	486	51035	53504	42675.43842461056	38213.516746411486	486625.0	19455.0
CH0012142631	CHF	218	324	84234	116438	3743.5180568416554	4398.143217849843	8720.93023255814	3005.0
CH0012214059	CHF	1292	1524	124507	130952	43557.398379207596	52247.472356283215	4202000.0	8893.004115226337
CH0012221716	CHF	1161	1256	264518	303389	12843.447326835982	12191.2857750281	726000.0	3860.0
CH0012255144	CHF	223	400	28298	39020	36021.62697010389	55601.588928754485	4630000.0	10832.183908045978
CH0012255151	CHF	637	767	13169	17001	1170460.1716151568	1155020.2929239457	24580000.0	477600.0
CH0012268360	CHF	106	196	150108	278059	221.20739734058145	232.00831478211458	349.44444444444446	171.21046892039257
CH0012280076	CHF	394	236	2395	1534	21888810.02087683	22579791.39504563	138200000.0	13635000.0
CH0012335540	CHF	199	225	15120	16504	85026.12433862434	89039.02084343189	6440000.0	47794.117647058825
CH0012410517	CHF	308	342	16652	20434	258444.0307470574	241394.7342664187	14470000.0	190400.0
CH0012453913	CHF	204	227	14555	18121	110121.33287530058	99573.4231002704	7990000.0	76660.0
CH0012530207	CHF	320	322	6444	7110	2615580.3848541277	2490520.393811533	54900000.0	1452631.5789473683
CH0012549785	CHF	252	315	6410	7152	1281296.4118564744	1518166.9463087248	33430000.0	454383.5616438356
CH0012627250	CHF	212	378	6856	20422	781534.422403734	544292.9194006464	1800000.0	132500.0
CH0012684657	CHF	166	293	8177	12142	154742.57062492357	187714.5445560863	7790000.0	97987.01298701299
CH0012829898	CHF	272	207	2588	1354	10884891.808346214	16382644.017725259	107100000.0	8214285.714285715
CH0013841017	CHF	882	1005	7782	9882	6996520.174762272	6329467.719085205	31070000.0	2038000.0
CH0014284498	CHF	209	252	1867	2054	8255757.900374933	9127604.673807206	74000000.0	6750000.0
CH0014786500	CHF	150	289	8240	17203	162285.1941747573	160161.01842701854	644285.7142857143	74078.94736842105
CH0014852781	CHF	940	964	10027	10116	4815129.151291513	5052123.368920522	13170000.0	1482285.7142857143
CH0016440353	CHF	316	250	2966	2151	8913924.477410654	9849697.814969782	84700000.0	8390000.0
CH0017875789	CHF	89	215	2740	8248	394021.897810219	362689.13676042674	13460000.0	172222.22222222222
CH0018294154	CHF	246	252	17056	17013	172644.23076923078	178722.74143302182	11970000.0	50458.333333333336
CH0019107025	CHF	91	108	1883	2081	872904.9389272438	955876.9822200865	1225333.3333333333	536363.6363636364
CH0019396990	CHF	184	212	7079	8515	384396.1011442294	385024.07516147976	14800000.0	363200.0
CH0021218067	CHF	111	116	3007235	3092271	0.44695542583137	0.46353634594121923	3.192488262910798	0.2577286865993779
CH0022268228	CHF	156	276	93558	139562	1019.1645823980846	1254.2310944239837	21206.896551724138	646.1864406779661
CH0022427626	CHF	186	214	611	892	60581833.060556464	50392376.68161435	213000000.0	41000000.0
CH0023405456	CHF	261	317	115375	50226	7520.017334777898	22729.681838091827	1148333.3333333333	17548.71794871795
CH0023868554	CHF	159	305	27153	70045	13420.69016314956	10812.077949889357	2300000.0	7078.481012658228
CH0024590272	CHF	194	341	6159	10920	719499.9188179899	762522.8937728938	4630000.0	550000.0
CH0024608827	CHF	1051	1079	4129	4220	27587079.19593122	28517547.39336493	108500000.0	7223333.333333333
CH0024638196	CHF	192	207	7194	6807	541723.6586043925	623591.8907007492	4106000.0	335666.6666666667
CH0024638212	CHF	207	291	7260	11992	556210.7438016529	484792.3615743829	19990000.0	390200.0
CH0025238863	CHF	193	216	6219	6355	808921.0484000643	891513.768686074	25950000.0	516400.0
CH0025343259	CHF	107	98	4371	3771	217984.44291924045	260851.23309466985	1992000.0	166949.15254237287
CH0025536027	CHF	199	285	2448	3813	3548508.9869281044	3399842.643587726	22075000.0	2328947.3684210526
CH0025751329	CHF	1031	1230	64235	87504	107738.64715497782	97857.51508502469	3366000.0	33200.0
CH0027148649	CHF	1		204		607.843137254902		607.843137254902	
CH0028422100	CHF	122	196	13871	20659	31901.08860211953	35349.72651144779	74693.87755102041	22298.13664596273
